name_id,date,time,correct,displaced,degree,degree_type,symbol,body,body1
1,2018-10-15,08:50:00,1%,0%,5,Applying,60,Saturn,Venus
1,2018-10-15,08:50:00,1%,0%,4,Seperating,60,Saturn,Mercury
1,2018-11-06,08:45:00,0.8333333333333334%,0.16666666666666666%,7,Applying,60,Venus,Saturn
1,2018-11-15,08:25:00,0.625%,0.375%,6,Applying,60,Mars,Saturn
1,2018-11-16,08:25:00,0.3333333333333333%,0.6666666666666666%,6,Applying,60,Mars,Saturn
1,2019-04-01,09:43:00,1%,0%,5,Applying,60,Venus,Uranus
4,2018-10-16,11:40:00,0.5%,0.5%,4,Seperating,60,Pluto,Neptune
4,2018-10-16,11:40:00,0.5%,0.5%,6,Seperating,60,Pluto,Jupiter
4,2019-02-07,10:05:00,0.5%,0.5%,6,Applying,60,Neptune,Pluto
4,2019-04-02,09:44:00,0.5%,0.5%,6,Seperating,60,Venus,Uranus
4,2018-10-15,11:36:00,0.75%,0.25%,4,Seperating,60,Saturn,Mercury
4,2018-10-15,11:36:00,0.75%,0.25%,5,Applying,60,Saturn,Venus
4,2018-11-07,11:59:00,0.25%,0.75%,4,Applying,60,Sun,Pluto
2,2018-10-16,12:29:00,0.75%,0.25%,6,Seperating,60,Pluto,Jupiter
2,2018-10-16,12:29:00,0.75%,0.25%,4,Seperating,60,Pluto,Neptune
2,2018-10-20,08:22:00,0.4166666666666667%,0.5833333333333334%,4,Applying,60,Neptune,Pluto
2,2018-11-15,10:30:00,0.5833333333333334%,0.4166666666666667%,6,Applying,60,Mars,Saturn
2,2019-03-06,12:02:00,0.5%,0.5%,7,Applying,60,Sun,Pluto
2,2019-04-02,11:47:00,0.9375%,0.0625%,6,Seperating,60,Venus,Uranus
2,2019-04-01,10:51:00,0.25%,0.75%,5,Seperating,60,Venus,Uranus
3,2018-11-06,09:46:00,0.875%,0.25%,5,Applying,60,Uranus,Mars
3,2018-11-15,13:40:00,0.6428571428571429%,0.35714285714285715%,6,Applying,60,Mars,Saturn
