time,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,ceres
A.D. 2018-Jan-01 12:20:00.0000 UTC,261.56274194156873,250.61808571349576,289.44618614229654,285.98048868617275,254.82593053397153,155.4243338681668,224.91812159035163,248.22764056844204,47.66317105462387
A.D. 2018-Jan-02 12:20:00.0000 UTC,261.2773423118714,250.52245507836392,289.4722308807092,286.6314957831305,255.1424527370959,158.11883021619906,225.9371907600985,248.6363338225619,48.241055688230304
A.D. 2018-Jan-03 12:20:00.0000 UTC,260.97222345985455,250.43805233378168,289.4995278118084,287.30862185452685,255.45789369140516,160.89576760369917,226.93401080333797,249.04135460122916,48.81013307660398
A.D. 2018-Jan-04 12:20:00.0000 UTC,260.6526861884673,250.36484775686503,289.5281709962564,288.01389713174,255.77234672147262,163.74833826639036,227.909125366178,249.44283440748785,49.37047293047448
A.D. 2018-Jan-05 12:20:00.0000 UTC,260.3234032681987,250.3028064954622,289.55826439531717,288.7495513736384,256.0859068774737,166.66802313252524,228.86308989035967,249.84090450871938,49.92215164853867
A.D. 2018-Jan-06 12:20:00.0000 UTC,259.9884717338896,250.2518879745978,289.58992054628965,289.51803583506626,256.39866973494696,169.64465030339957,229.79646757423794,250.23569498691606,50.465249990091046
A.D. 2018-Jan-07 12:20:00.0000 UTC,259.65146655411564,250.21204703622783,289.6232601609816,290.3220496424783,256.7107307928885,172.6665441049157,230.70982543340634,250.62733549032342,50.99985115959116
A.D. 2018-Jan-08 12:20:00.0000 UTC,259.31549367886805,250.1832381812125,289.6584126823594,291.16457077690023,257.0221856448579,175.72076599615832,231.6037311708777,251.01597375655763,51.52603982235154
A.D. 2018-Jan-09 12:20:00.0000 UTC,258.9832406392731,250.16541541457903,289.69551668945235,292.0488907418013,257.3331304155037,178.79343719255493,232.47875041871316,251.40194670546177,52.043901589248584
A.D. 2018-Jan-10 12:20:00.0000 UTC,258.6570237878204,250.15851964316286,289.73472024433664,292.97865325917627,257.643662288745,181.87012663957898,233.33544458243625,251.78465309474024,52.55352288287949
A.D. 2018-Jan-11 12:20:00.0000 UTC,258.3388317638854,250.16247662279204,289.77618148393196,293.95789773165706,257.9538800811902,184.9362798376081,234.1743693740415,252.16487627089793,53.0549910971868
A.D. 2018-Jan-12 12:20:00.0000 UTC,258.03036499990196,250.17720852570915,289.820069449534,294.991107964993,258.2638848020172,187.9776573671637,234.99607379976118,252.54258509910662,53.54839485542491
